id. Response ID,Year[Month Year...ate submitted]],Carmain,Previous Plug in HEVs,Previous BatteryEVs,Previous HybridEVs,Household Income,"Importance of reducing greenhouse gas emissions (-3 not important, 3 important)",Home ownership (own 1),Highest Level of Education,One-way commute distance,Number of people in the household,Age,Gender (Male 1),Number of vehicles in the household,Annual Vehicle MilesTraveled Estimate ,,,,,,,
PHASE_1_612,2015,2013 Chevrolet Volt,0,0,0,175000,2.9,0,4,16.13,2,35,0,2,8831.571429,,,,,,,
PHASE_1_613,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_614,2015,2013 Tesla Model S,0,0,0,500000,0.58,1,3,26.97,2,55,0,3,14717.64706,,,,,,,
PHASE_1_615,2015,2014 Nissan Leaf,1,0,0,225000,-2.98,1,4,27.27,4,45,0,3,13066.66667,,,,,,,
PHASE_1_616,,2012 Tesla Model S,1,1,0,,,,,,2,55,0,3,,,,,,,,
PHASE_1_617,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_618,2015,2013 Fiat 500e,0,0,0,375000,2.38,1,4,11.45,3,65,0,4,10956.52174,,,,,,,
PHASE_1_619,2015,2013 Toyota Prius Plug-in,0,0,0,225000,1.49,1,4,13.32,2,75,0,3,8964.705882,,,,,,,
PHASE_1_620,2015,2013 Nissan Leaf,0,0,0,225000,2.62,1,3,26.96,4,55,1,2,21000,,,,,,,
PHASE_1_621,2015,2014 Chevrolet Volt,,,,50000,2.59,0,2,9.17,2,45,0,1,6572,,,,,,,
PHASE_1_622,2015,2014 Nissan Leaf,0,1,0,50000,2.66,1,3,16.78,2,65,0,2,6466.666667,,,,,,,
PHASE_1_623,2015,2012 Nissan Leaf,0,0,0,50000,2.55,0,4,,5,55,0,3,14800,,,,,,,
PHASE_1_624,2015,2014 Chevrolet Volt,1,0,0,225000,2.48,1,4,14.82,4,55,0,3,7999,,,,,,,
PHASE_1_625,2015,2014 Toyota Prius Plug-in,0,0,1,125000,2.41,1,4,38.7,2,75,0,2,9643.2,,,,,,,
PHASE_1_626,2015,2014 Smart fortwo,0,0,0,,2.5,1,3,6.14,2,,,2,10404,,,,,,,
PHASE_1_627,2015,2013 Tesla Model S,0,0,0,500000,2.55,1,3,3.95,4,45,0,4,6666.666667,,,,,,,
PHASE_1_628,2015,2014 Chevrolet Volt,0,0,1,,2.54,1,4,144.86,4,45,0,2,14159.25,,,,,,,
PHASE_1_629,2015,2014 BMW i3,0,0,0,225000,-3,1,4,8.4,2,65,0,2,5454.545455,,,,,,,
PHASE_1_630,2015,2014 BMW i3,0,0,1,225000,2.75,1,3,8.76,2,55,0,2,10500,,,,,,,
PHASE_1_631,2015,2013 Nissan Leaf,0,0,0,175000,2.81,1,3,7.34,4,55,0,2,10434.78261,,,,,,,
PHASE_1_633,2015,2014 Tesla Model S,0,0,0,500000,0.32,1,3,1.31,5,55,0,3,16200,,,,,,,
PHASE_1_634,,2013 Ford C-Max Energi,0,0,1,,,,,4.94,2,55,0,3,,,,,,,,
PHASE_1_635,2015,2013 Tesla Model S,0,0,0,275000,1.81,1,2,39.5,3,35,0,2,25043.47826,,,,,,,
PHASE_1_636,,2012 Toyota Prius Plug-in,,,,,,,,,,,,1,,,,,,,,
PHASE_1_637,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_638,2015,2012 Ford Focus Electric,0,0,0,275000,1.42,0,3,11.08,2,35,0,3,6966.8,,,,,,,
PHASE_1_639,2015,2012 Toyota Prius Plug-in,0,0,0,175000,-1.66,1,4,35.19,4,45,1,2,22758.62069,,,,,,,
PHASE_1_640,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_641,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_642,2015,2014 Fiat 500e,0,0,0,75000,-1.57,0,3,6.95,2,45,0,2,7714.285714,,,,,,,
PHASE_1_643,2015,2014 Toyota RAV4 EV,0,0,0,125000,2.63,1,2,23.83,1,55,0,4,8228.571429,,,,,,,
PHASE_1_644,2015,2013 Nissan Leaf,0,0,1,325000,-0.8,1,3,22.97,4,35,0,2,11520,,,,,,,
PHASE_1_645,2015,2012 Tesla Model S,0,0,0,500000,1,1,2,,2,65,0,5,4258.064516,,,,,,,
PHASE_1_646,2015,2013 Tesla Model S,1,0,1,500000,2.56,1,3,18.69,4,45,0,4,19058.82353,,,,,,,
PHASE_1_647,2015,2013 Ford Fusion Energi,0,0,0,175000,,1,4,38.23,2,55,0,2,19764.70588,,,,,,,
PHASE_1_648,2015,2014 Toyota Prius Plug-in,0,0,0,175000,-1.62,1,4,4.58,4,45,0,2,12000,,,,,,,
PHASE_1_649,2015,2014 Toyota RAV4 EV,0,0,1,225000,1.42,1,4,6.91,6,45,0,2,8250,,,,,,,
PHASE_1_650,2015,2013 Ford C-Max Energi,0,0,0,175000,1.2,1,4,5.22,3,45,1,3,14500.44444,,,,,,,
PHASE_1_651,2015,2013 Nissan Leaf,0,0,0,225000,2.34,1,4,21.02,4,45,0,2,6857.142857,,,,,,,
PHASE_1_652,2015,2014 Fiat 500e,0,1,0,225000,1.43,1,3,4.27,5,55,0,5,9229.2,,,,,,,
PHASE_1_653,2015,2013 Ford Fusion Energi,0,0,1,125000,2.35,0,4,38.8,3,45,1,2,18000,,,,,,,
PHASE_1_654,2015,2015 Fiat 500e,0,0,0,,2.51,1,4,46.33,4,45,1,2,15000,,,,,,,
PHASE_1_655,2015,2013 Tesla Model S,0,0,0,225000,2.56,1,3,3.2,4,35,0,2,6000,,,,,,,
PHASE_1_656,,2014 Fiat 500e,0,0,0,,2.77,,,5.27,2,55,1,2,,,,,,,,
PHASE_1_657,2015,2013 Ford Focus Electric,0,0,1,75000,2.77,1,2,,1,65,1,2,4840,,,,,,,
PHASE_1_658,2015,2013 Chevrolet Volt,0,0,0,75000,-3,,3,16.33,3,25,0,2,17242.73684,,,,,,,
PHASE_1_659,2015,2014 Chevrolet Volt,,,,,,,,,,,,1,,,,,,,,
PHASE_1_660,2015,2015 Nissan Leaf,0,0,0,125000,0.95,0,4,14.03,2,35,0,2,7800,,,,,,,
PHASE_1_661,2015,2011 Nissan Leaf,0,0,0,225000,2.4,1,3,4.17,1,65,0,1,8000,,,,,,,
PHASE_1_662,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_663,2015,2012 Toyota Prius Plug-in,0,0,1,,2.65,1,4,53.47,4,55,0,5,8479.333333,,,,,,,
PHASE_1_664,,2012 Toyota Prius Plug-in,0,0,1,,,,,,1,65,1,2,,,,,,,,
PHASE_1_666,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_667,2015,2014 Tesla Model S,0,0,0,225000,0,1,3,20.36,2,55,0,3,16909.09091,,,,,,,
PHASE_1_668,2015,2013 Toyota Prius Plug-in,0,0,1,275000,1.75,1,3,6.29,2,35,0,2,9000,,,,,,,
PHASE_1_669,2015,2013 Tesla Model S,0,0,0,500000,2.63,1,2,42.2,2,45,0,3,24112.8,,,,,,,
PHASE_1_670,2015,2014 Fiat 500e,0,0,0,75000,2.95,1,3,17.28,2,35,,2,7733.333333,,,,,,,
PHASE_1_671,2015,2014 BMW i3,0,1,0,425000,1.59,1,3,1.82,4,45,0,4,4200,,,,,,,
PHASE_1_672,2015,2013 Chevrolet Volt,0,0,0,175000,0,1,2,33.27,5,35,0,3,19549.26316,,,,,,,
PHASE_1_673,2015,2014 BMW i3,0,0,0,75000,2.45,1,2,3.87,4,35,0,3,11816.72727,,,,,,,
PHASE_1_674,2015,2014 Nissan Leaf,0,0,0,175000,1.59,1,3,17.46,1,45,1,1,13846.15385,,,,,,,
PHASE_1_676,2015,2014 Toyota RAV4 EV,0,1,1,225000,2.79,1,4,15.54,3,55,0,2,12000,,,,,,,
PHASE_1_677,2015,2014 Fiat 500e,0,0,0,75000,2.8,1,3,23.62,3,25,0,4,16000,,,,,,,
PHASE_1_679,2015,2013 Tesla Model S,0,0,1,275000,,1,4,1.41,4,55,0,4,16000,,,,,,,
PHASE_1_678,2015,2012 Toyota RAV4 EV,0,0,1,225000,2.79,1,3,10.53,5,55,0,2,12876.92308,,,,,,,
PHASE_1_681,2015,2014 Fiat 500e,0,0,0,275000,0,1,3,22.57,4,55,0,3,14307.69231,,,,,,,
PHASE_1_682,2015,2013 Tesla Model S,1,0,1,375000,-0.83,1,4,38.6,2,65,0,3,21273.27273,,,,,,,
PHASE_1_683,2015,2013 Tesla Model S,0,0,1,175000,2.82,1,4,12.55,3,55,1,2,18903.5,,,,,,,
PHASE_1_684,2015,2014 Chevrolet Volt,,,,,,,,,,,,1,,,,,,,,
PHASE_1_685,2015,2012 Tesla Model S,0,1,1,500000,2.73,1,4,17.01,5,55,0,2,21642.85714,,,,,,,
PHASE_1_686,2015,2012 Tesla Model S,0,0,0,175000,2.73,0,3,3.01,1,45,0,1,7285.714286,,,,,,,
PHASE_1_687,2015,2014 Ford Focus Electric,0,0,0,425000,0,1,2,23.92,4,45,0,4,10560.75,,,,,,,
PHASE_1_688,2015,2014 Toyota RAV4 EV,0,0,0,75000,1.55,1,4,15.22,2,45,1,2,9969.230769,,,,,,,
PHASE_1_689,,2013 Nissan Leaf,,,,,,,,,,,,1,,,,,,,,
PHASE_1_690,2015,2014 Honda Fit EV,0,0,0,125000,2.68,1,3,9.1,4,55,0,3,10867.38462,,,,,,,
PHASE_1_691,2015,2013 Nissan Leaf,0,0,0,225000,2.52,1,4,6.57,2,55,0,3,4800,,,,,,,
PHASE_1_692,2015,2013 Tesla Model S,0,0,0,500000,0,1,3,28.98,4,45,0,3,10953.91304,,,,,,,
PHASE_1_693,2015,2014 Ford Focus Electric,0,0,0,175000,1.14,1,3,13.72,2,65,0,3,5920,,,,,,,
PHASE_1_694,2015,2013 Ford Fusion Energi,0,0,0,500000,1.17,1,4,,1,65,0,3,7250,,,,,,,
PHASE_1_695,2015,2014 Tesla Model S,0,1,0,175000,-1.45,1,4,28,2,75,0,3,15784.61538,,,,,,,
PHASE_1_696,2015,2011 Nissan Leaf,0,0,0,,2.69,1,3,13.81,4,45,0,2,8631.578947,,,,,,,
PHASE_1_697,,2013 Fiat 500e,0,0,0,,,,,,3,55,1,2,,,,,,,,
PHASE_1_698,2015,2013 Tesla Model S,0,0,0,375000,2.51,1,3,11.28,2,65,0,2,12000,,,,,,,
PHASE_1_699,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_700,2015,2014 Ford Focus Electric,0,1,0,175000,0.51,1,3,19.45,4,45,0,3,13714.28571,,,,,,,
PHASE_1_701,,2014 Toyota Prius Plug-in,0,0,0,,,,,11.43,1,45,0,2,,,,,,,,
PHASE_1_702,2015,2014 Chevrolet Volt,0,0,0,125000,2.68,0,2,16.35,2,55,0,3,12083.07692,,,,,,,
PHASE_1_703,2015,2015 Chevrolet Volt,0,0,1,,,1,4,11.45,3,55,0,3,107544,,,,,,,
PHASE_1_704,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_705,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_706,2015,2014 Ford Fusion Energi,0,0,0,,,1,4,44.96,2,65,0,2,32000,,,,,,,
PHASE_1_707,2015,2014 Ford Fusion Energi,0,0,0,225000,0.97,1,2,9.16,3,55,0,3,11007.6,,,,,,,
PHASE_1_708,,2014 Toyota Prius Plug-in,0,0,0,,,,,,4,55,1,4,,,,,,,,
PHASE_1_709,,2013 Toyota RAV4 EV,0,0,1,,,,,25.63,2,65,0,3,,,,,,,,
PHASE_1_710,2015,2014 Chevrolet Volt,0,0,1,125000,2.84,1,3,8.48,3,55,0,2,15200,,,,,,,
PHASE_1_711,2015,2014 Tesla Model S,0,1,1,375000,,1,4,6.57,5,45,0,4,22800,,,,,,,
PHASE_1_712,2015,2013 Nissan Leaf,0,0,0,275000,2.6,1,3,27.21,2,55,0,2,13043.47826,,,,,,,
PHASE_1_713,2015,2013 Tesla Model S,0,0,1,375000,1.53,1,4,5.63,4,35,0,2,8496,,,,,,,
PHASE_1_714,2015,2014 Chevrolet Volt,0,0,0,125000,-1.93,1,3,12.44,3,35,0,2,5440,,,,,,,
PHASE_1_715,2015,2013 Chevrolet Volt,0,0,1,,0,1,3,5.79,4,55,0,4,7623.428571,,,,,,,
PHASE_1_716,2015,2012 Tesla Model S,0,1,1,75000,0,1,3,8.73,2,65,0,2,6428.571429,,,,,,,
PHASE_1_717,2015,2013 Ford Focus Electric,0,0,0,75000,1.85,0,3,10.08,1,35,,1,10080,,,,,,,
PHASE_1_718,2015,2014 Toyota RAV4 EV,0,0,0,50000,-0.75,1,4,6.06,4,55,0,1,16586.4,,,,,,,
PHASE_1_719,2015,2014 Ford Fusion Energi,0,0,0,225000,-3,1,3,16.12,3,35,0,2,11256,,,,,,,
PHASE_1_720,2015,2013 Ford C-Max Energi,0,0,1,175000,2.88,0,2,13.09,2,45,0,3,12345,,,,,,,
PHASE_1_721,2015,2014 Ford Fusion Energi,,,,,,,,,,,,1,,,,,,,,
PHASE_1_722,,2013 Tesla Model S,0,0,0,,,,,8.26,2,55,0,2,,,,,,,,
PHASE_1_723,2015,2013 Toyota RAV4 EV,0,0,1,75000,2.75,1,3,19.67,2,65,1,2,14292,,,,,,,
PHASE_1_724,,2013 Fiat 500e,0,0,0,,,,,,4,45,1,2,,,,,,,,
PHASE_1_725,2015,2014 Ford Fusion Energi,0,0,0,75000,,0,2,14.05,2,65,1,2,15895.38462,,,,,,,
PHASE_1_726,2015,2013 Tesla Model S,0,0,0,125000,2.69,1,4,25.25,2,35,0,2,21000,,,,,,,
PHASE_1_727,2015,2013 Tesla Model S,0,0,1,275000,2.68,1,4,9.51,2,75,0,3,8000,,,,,,,
PHASE_1_729,2015,2014 Chevrolet Volt,0,0,0,125000,1.15,1,3,12.44,4,35,0,2,15150,,,,,,,
PHASE_1_730,2015,2013 Chevrolet Volt,0,0,1,175000,0,1,4,1.66,3,55,1,4,10725.12,,,,,,,
PHASE_1_731,2015,2014 Fiat 500e,0,0,0,275000,2.57,0,4,6.95,4,55,0,4,8400,,,,,,,
PHASE_1_732,2015,2013 Nissan Leaf,0,0,0,175000,-0.72,1,4,8.84,5,35,0,2,10333.33333,,,,,,,
PHASE_1_733,,2012 Mitsubishi i-MiEV,0,0,1,,,,,,2,55,1,3,,,,,,,,
PHASE_1_734,2015,2013 Ford C-Max Energi,0,0,0,175000,2.74,1,4,29.2,3,55,1,1,12000,,,,,,,
PHASE_1_735,2015,2014 Ford Fusion Energi,0,0,0,,-1.3,1,3,21.15,4,55,0,4,13948.61538,,,,,,,
PHASE_1_736,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_737,2015,2013 Chevrolet Volt,0,0,0,175000,2.56,0,3,7.7,4,25,0,3,9645,,,,,,,
PHASE_1_738,2015,2013 Nissan Leaf,,,,,,,,,,,,1,,,,,,,,
PHASE_1_739,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_740,2015,2013 Chevrolet Volt,0,1,0,125000,2.65,1,4,13.58,2,65,0,3,10182.66667,,,,,,,
PHASE_1_741,2015,2013 Nissan Leaf,0,0,1,175000,2.7,1,3,3.22,2,65,1,1,7410.6,,,,,,,
PHASE_1_742,2015,2013 Ford Fusion Energi,0,0,1,125000,2.66,1,3,32.89,4,35,0,3,25517.25,,,,,,,
PHASE_1_743,2015,2014 Toyota RAV4 EV,0,0,0,475000,1.19,1,4,8.27,6,,1,5,13636.36364,,,,,,,
PHASE_1_745,2015,2014 Chevrolet Spark EV,1,0,0,175000,2.6,1,3,3.99,4,65,0,4,4756.285714,,,,,,,
PHASE_1_746,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_747,2015,2012 Toyota Prius Plug-in,0,0,1,325000,-2.36,1,4,51.26,4,45,0,3,28004.68966,,,,,,,
PHASE_1_748,2015,2013 Toyota Prius Plug-in,0,0,0,175000,2.5,1,4,2.43,4,45,0,2,7304.347826,,,,,,,
PHASE_1_749,2015,2014 Tesla Model S,0,0,1,,1.62,0,4,6.05,2,65,0,3,11127.27273,,,,,,,
PHASE_1_750,2015,2013 Toyota RAV4 EV,1,0,1,275000,2.64,1,4,19.8,3,65,0,3,11647.05882,,,,,,,
PHASE_1_751,2015,2014 Tesla Model S,0,0,1,375000,2.67,1,4,50.29,4,18,1,2,22800,,,,,,,
PHASE_1_752,2015,2014 Ford C-Max Energi,0,0,0,225000,2.34,1,3,20.72,4,35,0,2,12266.66667,,,,,,,
PHASE_1_753,2015,2013 Ford Fusion Energi,,,,,,,,,,,,1,,,,,,,,
PHASE_1_781,2015,2013 Nissan Leaf,1,0,0,125000,-0.32,1,3,2.54,4,55,0,4,7894.736842,,,,,,,
PHASE_1_754,2015,2014 Toyota Prius Plug-in,1,0,1,125000,-3,0,2,65.88,3,35,0,3,19714.28571,,,,,,,
PHASE_1_755,2015,2012 Tesla Model S,0,0,0,425000,-0.6,1,4,15.15,4,35,0,3,12064.28571,,,,,,,
PHASE_1_756,2015,2013 Toyota RAV4 EV,0,0,0,275000,0,1,4,9.16,4,35,0,2,16800,,,,,,,
PHASE_1_757,,2014 Ford Fusion Energi,0,0,0,,,,,,4,55,0,5,,,,,,,,
PHASE_1_758,2015,2014 BMW i3,0,0,0,325000,2.66,0,4,46.14,2,35,0,1,19500,,,,,,,
PHASE_1_759,2015,2014 Fiat 500e,0,0,0,275000,-2.37,1,3,12.02,4,55,0,5,8769.230769,,,,,,,
PHASE_1_760,2015,2012 Nissan Leaf,0,0,0,275000,2.14,1,4,30.28,4,55,0,3,10714.28571,,,,,,,
PHASE_1_761,2015,2014 Chevrolet Volt,1,0,1,175000,-2.17,1,4,13.36,4,45,0,4,7066.666667,,,,,,,
PHASE_1_762,2015,2014 Fiat 500e,0,0,0,175000,2.16,1,4,2.76,2,55,0,2,8571.428571,,,,,,,
PHASE_1_763,2015,2013 Tesla Model S,0,0,0,500000,2.79,1,4,6.76,4,35,0,3,17787.84,,,,,,,
PHASE_1_764,2015,2013 Toyota Prius Plug-in,0,0,0,,0,1,3,16.12,4,35,1,2,15866.66667,,,,,,,
PHASE_1_765,2015,2012 Tesla Model S,0,0,0,,1.72,1,4,11.36,5,45,0,3,11400,,,,,,,
PHASE_1_766,2015,2014 BMW i3,0,1,0,125000,-2.86,1,2,24.43,3,45,1,4,12610.90909,,,,,,,
PHASE_1_767,2015,2013 Nissan Leaf,0,0,0,50000,1.32,1,2,4.35,2,65,0,4,8347.826087,,,,,,,
PHASE_1_768,2015,2014 Nissan Leaf,0,0,1,175000,2.12,1,4,7,4,35,0,2,1200,,,,,,,
PHASE_1_769,,2013 Toyota RAV4 EV,0,1,1,,,,,16.4,4,45,1,2,,,,,,,,
PHASE_1_770,2015,2014 Ford C-Max Energi,0,0,0,275000,0,1,4,7.25,2,45,0,3,12000,,,,,,,
PHASE_1_771,2015,2014 Toyota RAV4 EV,0,1,1,125000,2.52,1,3,3.69,4,55,0,2,5368.421053,,,,,,,
PHASE_1_772,,2014 Toyota Prius Plug-in,0,0,0,,,,,,2,,1,3,,,,,,,,
PHASE_1_773,2015,2014 Tesla Model S,0,1,0,275000,,1,3,15.1,2,35,0,2,15428.57143,,,,,,,
PHASE_1_774,,2014 Chevrolet Volt,0,1,0,,,,,,2,65,0,2,,,,,,,,
PHASE_1_775,2015,2012 Toyota Prius Plug-in,0,0,1,175000,0.2,1,4,17.25,4,55,0,3,22932,,,,,,,
PHASE_1_776,2015,2012 Toyota Prius Plug-in,0,0,0,125000,2.15,1,3,5.57,2,35,0,3,7135.135135,,,,,,,
PHASE_1_784,,,,,,,,,,,,,,1,,,,,,,,
PHASE_1_778,2015,2013 Nissan Leaf,0,0,0,325000,0.32,1,4,4.47,4,65,0,5,7058.823529,,,,,,,
PHASE_1_779,2015,2013 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_1_780,,2013 Nissan Leaf,,,,,,,,,,,,1,,,,,,,,
PHASE_1_783,2015,2013 Ford C-Max Energi,1,0,0,,-3,1,3,75.88,5,35,0,3,36800,,,,,,,
PHASE_1_785,2015,2013 Toyota Prius Plug-in,1,0,1,475000,2.6,1,4,24.05,4,35,0,3,30000,,,,,,,
PHASE_1_786,,2013 Nissan Leaf,,,,,,,,,,,,4,,,,,,,,
PHASE_1_787,2015,2014 BMW i3,0,0,0,125000,0.29,1,3,8.56,2,75,0,2,2827.2,,,,,,,
PHASE_1_788,,2014 BMW i3,0,0,0,,,,,,2,45,0,3,,,,,,,,
PHASE_1_789,2015,2012 Toyota Prius Plug-in,0,0,0,125000,1.33,1,3,9.44,3,35,0,2,8571.428571,,,,,,,
PHASE_1_790,,2014 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_1_791,2015,2013 Toyota Prius plug in,0,0,0,125000,2.5,0,4,1.9,1,55,0,1,11200,,,,,,,
PHASE_1_792,2015,2014 Chevrolet Volt,0,0,0,175000,-2.94,1,2,48.44,2,35,0,3,14823.52941,,,,,,,
PHASE_1_793,2015,2013 Toyota Prius Plug-in,0,0,0,125000,-1.7,1,3,24.62,4,35,0,2,13552.94118,,,,,,,
PHASE_1_794,2015,2013 Tesla Model S,0,1,0,125000,0.25,1,3,15.23,4,35,0,3,8250,,,,,,,
PHASE_1_795,2015,2014 Fiat 500e,0,0,0,75000,1.47,0,4,30.99,1,25,0,1,18012,,,,,,,
PHASE_1_796,2015,2012 Toyota Prius Plug-in,0,0,0,175000,2.61,1,4,1.98,1,65,1,1,10285.71429,,,,,,,
PHASE_1_797,2015,2014 Fiat 500e,0,0,0,125000,2.57,1,3,0.45,3,45,1,2,4000,,,,,,,
PHASE_1_798,,2014 Chevrolet Spark EV,,,,,,,,,,,,1,,,,,,,,
PHASE_1_799,2015,2013 Ford C-Max Energi,0,1,0,175000,0.29,1,2,3.09,2,55,0,3,8971.826087,,,,,,,
PHASE_1_800,2015,2013 Tesla Model S,0,0,1,375000,2.57,1,4,7.18,4,55,0,3,10513.38462,,,,,,,
PHASE_1_801,2015,2013 Fiat 500e,0,0,1,125000,2.31,1,3,19.76,2,65,0,2,11368.42105,,,,,,,
PHASE_1_802,2015,2014 Fiat 500e,0,0,1,125000,2.42,1,2,3.08,5,45,0,3,2000,,,,,,,
PHASE_1_803,,2014 Fiat 500e,0,0,0,,,,,25.39,2,65,0,3,,,,,,,,
PHASE_1_804,2015,2014 Nissan Leaf,0,0,0,325000,2.81,1,4,1.57,4,45,1,2,9876.923077,,,,,,,
PHASE_1_805,2015,2013 Chevrolet Volt,0,0,1,175000,0.5,1,3,,1,45,0,1,19315.2,,,,,,,
PHASE_1_806,2015,2014 Honda Accord Plug-in Hybrid,0,1,1,,2.67,1,3,18.17,5,45,0,3,15789.47368,,,,,,,
PHASE_1_807,2015,2014 Ford Fusion Energi,0,0,0,325000,1.32,1,4,0.18,2,45,1,2,16800,,,,,,,
PHASE_1_808,2015,2014 Chevrolet Spark EV,0,0,1,75000,0.31,0,3,8.93,4,35,0,3,4254.545455,,,,,,,
PHASE_1_809,2015,2013 Tesla Model S,0,0,0,125000,2.51,1,3,7.11,2,75,0,2,12750,,,,,,,
PHASE_1_811,2015,2015 Volkswagen e-Golf,0,1,0,175000,0,1,3,5.82,3,45,0,2,,,,,,,,
PHASE_1_812,2015,2013 Tesla Model S,0,0,0,475000,2.69,1,2,13.42,3,45,0,3,28964.72727,,,,,,,
PHASE_1_813,2015,2013 Ford C-Max Energi,0,0,0,125000,2.51,1,4,21.3,1,55,1,1,13829,,,,,,,
PHASE_1_814,2015,2013 Toyota RAV4 EV,1,0,0,75000,1.83,1,3,2.37,4,55,0,2,9600,,,,,,,
PHASE_1_815,2015,2013 Toyota RAV4 EV,0,0,0,175000,,1,3,34.25,2,75,0,2,15806.28571,,,,,,,
PHASE_1_816,2015,2012 Toyota Prius Plug-in,0,0,1,,2.48,1,4,38.57,4,45,0,3,12666.66667,,,,,,,
PHASE_1_817,2015,2012 Toyota Prius Plug-in,0,0,0,75000,2.59,1,3,1.08,2,55,0,2,4333.333333,,,,,,,
PHASE_1_818,,2014 Ford Focus Electric,1,0,0,,,,,22.12,3,45,0,3,,,,,,,,
PHASE_1_819,2015,2013 Tesla Model S,0,0,0,475000,2.2,1,4,10.7,6,35,1,3,8400,,,,,,,
PHASE_1_820,2015,2014 Chevrolet Volt,0,0,0,175000,1.49,1,3,18.35,6,45,0,3,10923.15789,,,,,,,
PHASE_1_821,2015,2011 Nissan Leaf,0,0,0,475000,2.66,1,4,17.66,3,55,0,4,8700,,,,,,,
PHASE_1_822,2015,2013 Smart fortwo,,,,50000,2.02,0,3,8.95,1,35,0,1,5625,,,,,,,
PHASE_1_823,2015,2012 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_1_825,2015,2014 Nissan Leaf,0,0,0,50000,2.78,0,3,1.67,4,55,0,2,12369.23077,,,,,,,
PHASE_1_826,2015,2014 Toyota RAV4 EV,0,0,1,375000,2.73,1,4,18.62,3,45,0,3,15067.71429,,,,,,,
PHASE_1_827,2015,2014 Chevrolet Volt,0,0,0,225000,1.56,1,3,2.47,2,45,0,3,14475,,,,,,,
PHASE_1_828,2015,2013 Fiat 500e,0,0,0,125000,2.87,1,2,12.33,2,45,0,5,10500,,,,,,,
PHASE_1_829,2015,2014 Ford C-Max Energi,0,0,0,,-1.81,1,2,10.72,2,65,1,3,13000,,,,,,,
PHASE_1_830,2015,2013 Nissan Leaf,0,0,0,75000,0.59,1,3,7.44,4,35,0,2,9750,,,,,,,
PHASE_1_831,2015,2014 Ford C-Max Energi,0,1,0,125000,,1,3,31.73,2,65,0,3,5142.857143,,,,,,,
PHASE_1_832,,2013 Nissan Leaf,0,0,1,,,,,17.31,2,35,0,2,,,,,,,,
PHASE_1_833,2015,2014 Tesla Model S,0,0,1,125000,2.76,1,3,2.61,2,75,1,2,6257.142857,,,,,,,
PHASE_1_834,2015,2012 Toyota Prius Plug-in,0,0,0,325000,2.82,1,4,2.89,3,45,1,1,8275.862069,,,,,,,
PHASE_1_835,2015,2013 Tesla Model S,0,0,0,500000,-0.35,1,3,3.7,5,55,0,5,8571.428571,,,,,,,
PHASE_1_842,2015,2014 Chevrolet Volt,1,0,0,375000,1.39,0,3,3.5,4,25,0,4,9553.5,,,,,,,
PHASE_1_837,,2013 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_1_838,2015,2014 Honda Fit EV,0,0,0,75000,2.62,1,2,5.08,1,55,0,1,13846.5,,,,,,,
PHASE_1_839,,2014 Nissan Leaf,0,0,0,,,,,24.93,3,35,0,2,,,,,,,,
PHASE_1_840,2015,2012 Nissan Leaf,0,0,0,125000,-1.82,1,3,12.5,5,45,0,3,6857.142857,,,,,,,
PHASE_1_841,2015,2012 Tesla Model S,,,,,,,,,,,,1,,,,,,,,
PHASE_1_843,2015,2013 Tesla Model S,0,0,1,325000,0.9,1,3,12.33,2,75,0,2,-72312,,,,,,,
PHASE_1_844,2015,2014 Ford C-Max Energi,1,0,1,,0,1,3,8.08,5,75,0,5,8556,,,,,,,
PHASE_1_845,2015,2012 Nissan Leaf,0,0,0,125000,2.63,1,4,16.71,4,45,0,2,13578.94737,,,,,,,
PHASE_1_846,2015,2013 Toyota Prius Plug-in,0,1,1,275000,2.74,1,3,14.09,3,65,0,4,7771.428571,,,,,,,
PHASE_1_847,2015,2012 Tesla Model S,0,0,0,500000,2.71,1,3,27.81,2,45,0,3,12428.57143,,,,,,,
PHASE_1_848,2015,2014 Chevrolet Volt,0,0,0,75000,2.48,0,3,3.09,1,35,0,1,7614.857143,,,,,,,
PHASE_1_849,2015,2012 Mitsubishi i-MiEV,0,0,0,125000,2.69,1,3,11.47,2,25,1,5,8559,,,,,,,
PHASE_1_850,2015,2013 Tesla Model S,0,0,0,500000,1.14,1,4,9.44,3,35,0,2,12521.73913,,,,,,,
