year,county,fuel_type,make,model,number_of_vehicles
2016,Santa Cruz,PHEV,Honda,Accord PHEV,1
2016,Santa Cruz,PHEV,Mercedes-Benz,S-Class,1
2016,Santa Cruz,PHEV,Porsche,918 Spyder,1
2016,Santa Cruz,PHEV,Porsche,Cayenne,1
2016,Santa Cruz,PHEV,Toyota,Prius PHEV,11
2016,Santa Cruz,PHEV,Toyota,Prius Prime,11
2016,Santa Cruz,PHEV,Volvo,XC90,4
2016,Santa Cruz,FCEV,Hyundai,Tucson Fuel Cell,1
2016,Santa Cruz,FCEV,Toyota,Mirai,2
2016,Shasta,BEV,Chevrolet,Spark EV,1
2016,Shasta,BEV,Ford,Focus,4
2016,Shasta,BEV,Kia,Soul EV,1
2016,Shasta,BEV,Nissan,Leaf,2
2016,Shasta,BEV,Tesla,Model S,8
2016,Shasta,BEV,Tesla,Model X,7
2016,Shasta,BEV,Volkswagen,e-Golf,1
2016,Shasta,PHEV,BMW,i3 REx,1
2016,Shasta,PHEV,BMW,X5,1
2016,Shasta,PHEV,Cadillac,ELR,1
2016,Shasta,PHEV,Chevrolet,Volt,17
2016,Shasta,PHEV,Ford,C-MAX Energi,1
2016,Shasta,PHEV,Ford,Fusion Energi,3
2016,Shasta,PHEV,Toyota,Prius Prime,1
2016,Siskiyou,BEV,Chevrolet,Spark EV,1
2016,Siskiyou,BEV,Tesla,Model S,1
2016,Siskiyou,BEV,Tesla,Model X,3
2016,Siskiyou,PHEV,Chevrolet,Volt,1
2016,Solano,BEV,BMW,i3,1
2016,Solano,BEV,Chevrolet,Spark EV,9
2016,Solano,BEV,FIAT,500e,5
2016,Solano,BEV,Ford,Focus,8
2016,Solano,BEV,Kia,Soul EV,2
2016,Solano,BEV,Nissan,Leaf,27
2016,Solano,BEV,Smart,Fortwo BEV Drive,1
2016,Solano,BEV,Tesla,Model S,65
2016,Solano,BEV,Tesla,Model X,17
2016,Solano,BEV,Volkswagen,e-Golf,15
2016,Solano,PHEV,Audi,A3 Sportback e-tron,7
2016,Solano,PHEV,BMW,i3 REx,12
2016,Solano,PHEV,BMW,i8,1
2016,Solano,PHEV,BMW,X5,1
2016,Solano,PHEV,Chevrolet,Volt,89
2016,Solano,PHEV,Ford,C-MAX Energi,34
2016,Solano,PHEV,Ford,Fusion Energi,70
2016,Solano,PHEV,Hyundai,Sonata PHEV,3
2016,Solano,PHEV,Mercedes-Benz,S-Class,1
2016,Solano,PHEV,Porsche,Cayenne,1
2016,Solano,PHEV,Toyota,Prius PHEV,10
2016,Solano,PHEV,Toyota,Prius Prime,6
2016,Solano,PHEV,Volvo,XC90,2
2016,Solano,FCEV,Toyota,Mirai,2
2016,Sonoma,BEV,BMW,i3,16
2016,Sonoma,BEV,Chevrolet,Spark EV,25
2016,Sonoma,BEV,FIAT,500e,60
2016,Sonoma,BEV,Ford,Focus,11
2016,Sonoma,BEV,Kia,Soul EV,11
2016,Sonoma,BEV,Mercedes-Benz,B-Class,5
2016,Sonoma,BEV,Mitsubishi,i-MiEV,1
2016,Sonoma,BEV,Nissan,Leaf,187
2016,Sonoma,BEV,Smart,Fortwo BEV Drive,2
2016,Sonoma,BEV,Tesla,Model S,99
2016,Sonoma,BEV,Tesla,Model X,55
2016,Sonoma,BEV,Volkswagen,e-Golf,42
2016,Sonoma,PHEV,Audi,A3 Sportback e-tron,25
2016,Sonoma,PHEV,BMW,3 Series,3
2016,Sonoma,PHEV,BMW,i3 REx,44
2016,Sonoma,PHEV,BMW,i8,3
2016,Sonoma,PHEV,BMW,X5,10
2016,Sonoma,PHEV,Cadillac,ELR,2
2016,Sonoma,PHEV,Chevrolet,Volt,216
2016,Sonoma,PHEV,Ford,C-MAX Energi,44
2016,Sonoma,PHEV,Ford,Fusion Energi,77
2016,Sonoma,PHEV,Honda,Accord PHEV,1
2016,Sonoma,PHEV,Hyundai,Sonata PHEV,17
2016,Sonoma,PHEV,Mercedes-Benz,GLE,3
2016,Sonoma,PHEV,Porsche,Cayenne,3
2016,Sonoma,PHEV,Toyota,Prius PHEV,8
2016,Sonoma,PHEV,Toyota,Prius Prime,14
2016,Sonoma,PHEV,Volvo,XC90,8
2016,Sonoma,FCEV,Toyota,Mirai,5
2016,Stanislaus,BEV,Chevrolet,Spark EV,65
2016,Stanislaus,BEV,FIAT,500e,12
2016,Stanislaus,BEV,Ford,Focus,3
2016,Stanislaus,BEV,Nissan,Leaf,31
2016,Stanislaus,BEV,Tesla,Model S,26
2016,Stanislaus,BEV,Tesla,Model X,11
2016,Stanislaus,BEV,Volkswagen,e-Golf,7
2016,Stanislaus,PHEV,BMW,3 Series,2
2016,Stanislaus,PHEV,BMW,i3 REx,6
2016,Stanislaus,PHEV,BMW,i8,2
2016,Stanislaus,PHEV,BMW,X5,5
2016,Stanislaus,PHEV,Cadillac,ELR,1
2016,Stanislaus,PHEV,Chevrolet,Volt,40
2016,Stanislaus,PHEV,Ford,C-MAX Energi,13
2016,Stanislaus,PHEV,Ford,Fusion Energi,21
2016,Stanislaus,PHEV,Hyundai,Sonata PHEV,4
2016,Stanislaus,PHEV,Toyota,Prius PHEV,1
2016,Stanislaus,PHEV,Toyota,Prius Prime,2
2016,Sutter,BEV,Chevrolet,Spark EV,2
2016,Sutter,BEV,FIAT,500e,1
2016,Sutter,BEV,Tesla,Model S,3
2016,Sutter,PHEV,Audi,A3 Sportback e-tron,1
2016,Sutter,PHEV,BMW,3 Series,1
2016,Sutter,PHEV,Chevrolet,Volt,3
2016,Sutter,PHEV,Ford,C-MAX Energi,2
2016,Sutter,PHEV,Mercedes-Benz,GLE,1
2016,Tehama,BEV,Nissan,Leaf,1
2016,Tehama,BEV,Tesla,Model S,1
2016,Tehama,PHEV,Ford,C-MAX Energi,1
2016,Tehama,PHEV,Ford,Fusion Energi,1
2016,Tehama,PHEV,Toyota,Prius Prime,1
2016,Trinity,PHEV,Chevrolet,Volt,1
2016,Trinity,PHEV,Ford,C-MAX Energi,1
2016,Trinity,PHEV,Ford,Fusion Energi,1
2016,Tulare,BEV,Chevrolet,Spark EV,2
2016,Tulare,BEV,FIAT,500e,31
2016,Tulare,BEV,Ford,Focus,1
2016,Tulare,BEV,Nissan,Leaf,5
2016,Tulare,BEV,Smart,Fortwo BEV Drive,1
2016,Tulare,BEV,Tesla,Model S,8
2016,Tulare,BEV,Tesla,Model X,5
2016,Tulare,BEV,Volkswagen,e-Golf,1
2016,Tulare,PHEV,BMW,i3 REx,2
2016,Tulare,PHEV,BMW,i8,2
2016,Tulare,PHEV,Cadillac,ELR,1
2016,Tulare,PHEV,Chevrolet,Volt,19
2016,Tulare,PHEV,Ford,C-MAX Energi,1
2016,Tulare,PHEV,Ford,Fusion Energi,5
2016,Tulare,PHEV,Hyundai,Sonata PHEV,3
2016,Tulare,PHEV,Porsche,Cayenne,1
2016,Tulare,PHEV,Toyota,Prius Prime,4
2016,Tulare,PHEV,Volvo,XC90,1
2016,Tuolumne,BEV,Chevrolet,Spark EV,1
2016,Tuolumne,BEV,Tesla,Model X,2
2016,Tuolumne,PHEV,Chevrolet,Volt,6
2016,Tuolumne,PHEV,Ford,C-MAX Energi,1
2016,Tuolumne,PHEV,Toyota,Prius PHEV,1
2016,Tuolumne,PHEV,Volvo,XC90,1
2016,Ventura,BEV,BMW,i3,16
2016,Ventura,BEV,Chevrolet,Spark EV,31
2016,Ventura,BEV,FIAT,500e,96
2016,Ventura,BEV,Ford,Focus,13
2016,Ventura,BEV,Kia,Soul EV,5
2016,Ventura,BEV,Mercedes-Benz,B-Class,3
2016,Ventura,BEV,Nissan,Leaf,43
2016,Ventura,BEV,Smart,Fortwo BEV Drive,6
2016,Ventura,BEV,Tesla,Model S,225
2016,Ventura,BEV,Tesla,Model X,90
2016,Ventura,BEV,Volkswagen,e-Golf,25
2016,Ventura,PHEV,Audi,A3 Sportback e-tron,27
2016,Ventura,PHEV,BMW,3 Series,3
2016,Ventura,PHEV,BMW,7 Series,2
2016,Ventura,PHEV,BMW,i3 REx,119
2016,Ventura,PHEV,BMW,i8,14
2016,Ventura,PHEV,BMW,X5,40
2016,Ventura,PHEV,Cadillac,ELR,3
2016,Ventura,PHEV,Chevrolet,Volt,364
2016,Ventura,PHEV,Ford,C-MAX Energi,70
2016,Ventura,PHEV,Ford,Fusion Energi,113
2016,Ventura,PHEV,Honda,Accord PHEV,1
2016,Ventura,PHEV,Hyundai,Sonata PHEV,23
2016,Ventura,PHEV,Mercedes-Benz,GLE,2
2016,Ventura,PHEV,Mercedes-Benz,S-Class,7
2016,Ventura,PHEV,Porsche,Cayenne,12
2016,Ventura,PHEV,Porsche,Panamera,3
2016,Ventura,PHEV,Toyota,Prius PHEV,7
2016,Ventura,PHEV,Toyota,Prius Prime,23
2016,Ventura,PHEV,Volvo,XC90,13
2016,Ventura,FCEV,Toyota,Mirai,3
2016,Yolo,BEV,Chevrolet,Spark EV,9
2016,Yolo,BEV,FIAT,500e,8
2016,Yolo,BEV,Ford,Focus,4
2016,Yolo,BEV,Kia,Soul EV,3
2016,Yolo,BEV,Mercedes-Benz,B-Class,2
2016,Yolo,BEV,Nissan,Leaf,23
2016,Yolo,BEV,Tesla,Model S,29
2016,Yolo,BEV,Tesla,Model X,7
2016,Yolo,BEV,Toyota,RAV4 EV,1
2016,Yolo,BEV,Volkswagen,e-Golf,8
2016,Yolo,PHEV,Audi,A3 Sportback e-tron,5
2016,Yolo,PHEV,BMW,3 Series,1
2016,Yolo,PHEV,BMW,7 Series,1
2016,Yolo,PHEV,BMW,i3 REx,12
2016,Yolo,PHEV,BMW,X5,2
2016,Yolo,PHEV,Chevrolet,Volt,60
2016,Yolo,PHEV,Ford,C-MAX Energi,4
2016,Yolo,PHEV,Ford,Fusion Energi,26
2016,Yolo,PHEV,Hyundai,Sonata PHEV,1
2016,Yolo,PHEV,Porsche,Cayenne,2
2016,Yolo,PHEV,Toyota,Prius PHEV,1
2016,Yolo,PHEV,Toyota,Prius Prime,5
2016,Yolo,PHEV,Volvo,XC90,1
2016,Yolo,FCEV,Toyota,Mirai,10
2016,Yuba,BEV,FIAT,500e,1
2016,Yuba,BEV,Nissan,Leaf,1
2016,Yuba,BEV,Tesla,Model S,2
2016,Yuba,BEV,Tesla,Model X,1
2016,Yuba,PHEV,Chevrolet,Volt,5
2016,Yuba,PHEV,Ford,C-MAX Energi,1
2016,Yuba,PHEV,Ford,Fusion Energi,2
2016,Yuba,PHEV,Hyundai,Sonata PHEV,1
2016,Yuba,PHEV,Toyota,Prius Prime,1
2017,Alameda,BEV,BMW,i3,138
2017,Alameda,BEV,Chevrolet,Bolt EV,867
2017,Alameda,BEV,Chevrolet,Spark EV,110
2017,Alameda,BEV,FIAT,500e,114
2017,Alameda,BEV,Ford,Focus,60
2017,Alameda,BEV,Honda,Clarity BEV,42
2017,Alameda,BEV,Hyundai,Ioniq BEV,1
2017,Alameda,BEV,Kia,Soul EV,48
2017,Alameda,BEV,Mercedes-Benz,B-Class,49
2017,Alameda,BEV,Mitsubishi,i-MiEV,1
2017,Alameda,BEV,Nissan,Leaf,882
2017,Alameda,BEV,Smart,Fortwo BEV Drive,15
2017,Alameda,BEV,Tesla,Model 3,118
2017,Alameda,BEV,Tesla,Model S,696
2017,Alameda,BEV,Tesla,Model X,366
2017,Alameda,BEV,Volkswagen,e-Golf,449
2017,Alameda,PHEV,Audi,A3 Sportback e-tron,114
2017,Alameda,PHEV,BMW,3 Series,50
2017,Alameda,PHEV,BMW,5 Series,74
2017,Alameda,PHEV,BMW,i3 REx,305
2017,Alameda,PHEV,BMW,i8,4
2017,Alameda,PHEV,BMW,X5,40
2017,Alameda,PHEV,Cadillac,CT6 PHEV,2
2017,Alameda,PHEV,Chevrolet,Volt,1155
2017,Alameda,PHEV,Chrysler,Pacifica Hybrid,62
2017,Alameda,PHEV,Ford,C-MAX Energi,150
2017,Alameda,PHEV,Ford,Fusion Energi,217
2017,Alameda,PHEV,Honda,Accord PHEV,3
2017,Alameda,PHEV,Honda,Clarity PHEV,18
2017,Alameda,PHEV,Hyundai,Sonata PHEV,28
2017,Alameda,PHEV,Kia,Optima PHEV,25
2017,Alameda,PHEV,Mercedes-Benz,C-Class,26
2017,Alameda,PHEV,Mercedes-Benz,GLE,7
2017,Alameda,PHEV,Mercedes-Benz,S-Class,7
2017,Alameda,PHEV,MINI,Countryman PHEV,6
2017,Alameda,PHEV,Porsche,Cayenne,9
2017,Alameda,PHEV,Toyota,Prius PHEV,56
2017,Alameda,PHEV,Toyota,Prius Prime,593
2017,Alameda,PHEV,Volvo,XC60,5
2017,Alameda,PHEV,Volvo,XC90,30
2017,Alameda,FCEV,Honda,Clarity Fuel Cell,46
2017,Alameda,FCEV,Hyundai,Tucson Fuel Cell,1
2017,Alameda,FCEV,Toyota,Mirai,67
2017,Alpine,BEV,Tesla,Model S,1
2017,Amador,BEV,Chevrolet,Bolt EV,4
2017,Amador,BEV,Nissan,Leaf,1
2017,Amador,BEV,Tesla,Model S,1
2017,Amador,BEV,Tesla,Model X,1
2017,Amador,PHEV,Chevrolet,Volt,6
2017,Amador,PHEV,Ford,C-MAX Energi,2
2017,Amador,PHEV,Hyundai,Sonata PHEV,1
2017,Amador,PHEV,Mercedes-Benz,GLE,2
2017,Amador,PHEV,Toyota,Prius Prime,3
2017,Butte,BEV,BMW,i3,2
2017,Butte,BEV,Chevrolet,Bolt EV,10
2017,Butte,BEV,Chevrolet,Spark EV,1
2017,Butte,BEV,Mercedes-Benz,B-Class,1
2017,Butte,BEV,Nissan,Leaf,4
2017,Butte,BEV,Tesla,Model S,12
2017,Butte,BEV,Tesla,Model X,8
2017,Butte,PHEV,BMW,i3 REx,1
2017,Butte,PHEV,Chevrolet,Volt,10
2017,Butte,PHEV,Chrysler,Pacifica Hybrid,2
2017,Butte,PHEV,Ford,C-MAX Energi,4
2017,Butte,PHEV,Ford,Fusion Energi,3
2017,Butte,PHEV,Honda,Clarity PHEV,1
2017,Butte,PHEV,Hyundai,Sonata PHEV,1
2017,Butte,PHEV,Kia,Optima PHEV,1
2017,Butte,PHEV,Toyota,Prius PHEV,2
2017,Butte,PHEV,Toyota,Prius Prime,24
2017,Butte,PHEV,Volvo,XC90,1
2017,Calaveras,BEV,Chevrolet,Bolt EV,4
2017,Calaveras,BEV,Ford,Focus,1
2017,Calaveras,BEV,Tesla,Model S,3
2017,Calaveras,BEV,Tesla,Model X,1
2017,Calaveras,PHEV,BMW,5 Series,1
2017,Calaveras,PHEV,Chevrolet,Volt,2
2017,Calaveras,PHEV,Chrysler,Pacifica Hybrid,1
2017,Calaveras,PHEV,Ford,C-MAX Energi,2
2017,Calaveras,PHEV,Ford,Fusion Energi,1
2017,Calaveras,PHEV,Toyota,Prius PHEV,1
2017,Calaveras,PHEV,Toyota,Prius Prime,7
2017,Colusa,BEV,Chevrolet,Bolt EV,1
2017,Colusa,PHEV,Toyota,Prius Prime,2
2017,Contra Costa,BEV,BMW,i3,47
2017,Contra Costa,BEV,Chevrolet,Bolt EV,367
2017,Contra Costa,BEV,Chevrolet,Spark EV,34
2017,Contra Costa,BEV,FIAT,500e,54
2017,Contra Costa,BEV,Ford,Focus,48
2017,Contra Costa,BEV,Honda,Clarity BEV,22
2017,Contra Costa,BEV,Hyundai,Ioniq BEV,2
2017,Contra Costa,BEV,Kia,Soul EV,26
2017,Contra Costa,BEV,Mercedes-Benz,B-Class,25
2017,Contra Costa,BEV,Nissan,Leaf,297
2017,Contra Costa,BEV,Smart,Fortwo BEV Drive,7
2017,Contra Costa,BEV,Tesla,Model 3,28
2017,Contra Costa,BEV,Tesla,Model S,516
2017,Contra Costa,BEV,Tesla,Model X,211
2017,Contra Costa,BEV,Volkswagen,e-Golf,145
2017,Contra Costa,PHEV,Audi,A3 Sportback e-tron,56
2017,Contra Costa,PHEV,BMW,3 Series,38
2017,Contra Costa,PHEV,BMW,5 Series,47
2017,Contra Costa,PHEV,BMW,7 Series,2
2017,Contra Costa,PHEV,BMW,i3 REx,114
2017,Contra Costa,PHEV,BMW,i8,3
2017,Contra Costa,PHEV,BMW,X5,30
2017,Contra Costa,PHEV,Cadillac,CT6 PHEV,4
2017,Contra Costa,PHEV,Chevrolet,Volt,457
2017,Contra Costa,PHEV,Chrysler,Pacifica Hybrid,26
2017,Contra Costa,PHEV,Ford,C-MAX Energi,109
2017,Contra Costa,PHEV,Ford,Fusion Energi,190
2017,Contra Costa,PHEV,Honda,Accord PHEV,4
2017,Contra Costa,PHEV,Honda,Clarity PHEV,10
2017,Contra Costa,PHEV,Hyundai,Sonata PHEV,26
2017,Contra Costa,PHEV,Kia,Optima PHEV,14
2017,Contra Costa,PHEV,Mercedes-Benz,C-Class,21
2017,Contra Costa,PHEV,Mercedes-Benz,GLE,7
2017,Contra Costa,PHEV,Mercedes-Benz,S-Class,11
2017,Contra Costa,PHEV,MINI,Countryman PHEV,2
2017,Contra Costa,PHEV,Porsche,Cayenne,12
2017,Contra Costa,PHEV,Porsche,Panamera,1
2017,Contra Costa,PHEV,Toyota,Prius PHEV,28
2017,Contra Costa,PHEV,Toyota,Prius Prime,345
2017,Contra Costa,PHEV,Volvo,XC60,3
2017,Contra Costa,PHEV,Volvo,XC90,17
2017,Contra Costa,FCEV,Honda,Clarity Fuel Cell,25
2017,Contra Costa,FCEV,Hyundai,Tucson Fuel Cell,1
2017,Contra Costa,FCEV,Toyota,Mirai,43
2017,Del Norte,BEV,Chevrolet,Bolt EV,2
2017,Del Norte,BEV,Ford,Focus,1
2017,Del Norte,BEV,Tesla,Model S,1
2017,Del Norte,PHEV,Chevrolet,Volt,3
2017,Del Norte,PHEV,Toyota,Prius Prime,2
2017,El Dorado,BEV,BMW,i3,2
2017,El Dorado,BEV,Chevrolet,Bolt EV,39
2017,El Dorado,BEV,Chevrolet,Spark EV,2
2017,El Dorado,BEV,FIAT,500e,7
2017,El Dorado,BEV,Ford,Focus,11
2017,El Dorado,BEV,Hyundai,Ioniq BEV,1
2017,El Dorado,BEV,Kia,Soul EV,1
2017,El Dorado,BEV,Mercedes-Benz,B-Class,2
2017,El Dorado,BEV,Nissan,Leaf,17
2017,El Dorado,BEV,Tesla,Model 3,3
2017,El Dorado,BEV,Tesla,Model S,44
2017,El Dorado,BEV,Tesla,Model X,18
2017,El Dorado,BEV,Volkswagen,e-Golf,6
2017,El Dorado,PHEV,Audi,A3 Sportback e-tron,3
2017,El Dorado,PHEV,BMW,3 Series,2
2017,El Dorado,PHEV,BMW,5 Series,4
2017,El Dorado,PHEV,BMW,7 Series,1
2017,El Dorado,PHEV,BMW,i3 REx,8
2017,El Dorado,PHEV,BMW,X5,3
2017,El Dorado,PHEV,Cadillac,CT6 PHEV,1
2017,El Dorado,PHEV,Chevrolet,Volt,39
2017,El Dorado,PHEV,Chrysler,Pacifica Hybrid,3
2017,El Dorado,PHEV,Ford,C-MAX Energi,4
2017,El Dorado,PHEV,Ford,Fusion Energi,23
2017,El Dorado,PHEV,Honda,Clarity PHEV,1
2017,El Dorado,PHEV,Hyundai,Sonata PHEV,2
2017,El Dorado,PHEV,Kia,Optima PHEV,7
2017,El Dorado,PHEV,Mercedes-Benz,C-Class,2
2017,El Dorado,PHEV,Toyota,Prius PHEV,3
2017,El Dorado,PHEV,Toyota,Prius Prime,46
2017,El Dorado,PHEV,Volvo,XC90,5
2017,El Dorado,FCEV,Honda,Clarity Fuel Cell,3
2017,El Dorado,FCEV,Toyota,Mirai,3
2017,Fresno,BEV,BMW,i3,10
2017,Fresno,BEV,Chevrolet,Bolt EV,35
2017,Fresno,BEV,Chevrolet,Spark EV,42
2017,Fresno,BEV,FIAT,500e,533
2017,Fresno,BEV,Ford,Focus,36
2017,Fresno,BEV,Honda,Clarity BEV,16
2017,Fresno,BEV,Kia,Soul EV,4
2017,Fresno,BEV,Mercedes-Benz,B-Class,1
2017,Fresno,BEV,Mitsubishi,i-MiEV,1
2017,Fresno,BEV,Nissan,Leaf,45
2017,Fresno,BEV,Tesla,Model S,58
2017,Fresno,BEV,Tesla,Model X,29
2017,Fresno,BEV,Volkswagen,e-Golf,17
2017,Fresno,PHEV,Audi,A3 Sportback e-tron,3
2017,Fresno,PHEV,BMW,3 Series,10
2017,Fresno,PHEV,BMW,5 Series,4
2017,Fresno,PHEV,BMW,7 Series,1
2017,Fresno,PHEV,BMW,i3 REx,19
2017,Fresno,PHEV,BMW,i8,3
2017,Fresno,PHEV,BMW,X5,11
2017,Fresno,PHEV,Chevrolet,Volt,44
2017,Fresno,PHEV,Chrysler,Pacifica Hybrid,9
2017,Fresno,PHEV,Ford,C-MAX Energi,4
2017,Fresno,PHEV,Ford,Fusion Energi,26
2017,Fresno,PHEV,Honda,Clarity PHEV,1
2017,Fresno,PHEV,Hyundai,Sonata PHEV,2
2017,Fresno,PHEV,Kia,Optima PHEV,8
2017,Fresno,PHEV,Mercedes-Benz,C-Class,3
2017,Fresno,PHEV,Mercedes-Benz,GLE,2
2017,Fresno,PHEV,Mercedes-Benz,S-Class,6
2017,Fresno,PHEV,Porsche,Cayenne,2
2017,Fresno,PHEV,Toyota,Prius PHEV,2
2017,Fresno,PHEV,Toyota,Prius Prime,66
2017,Fresno,PHEV,Volvo,XC60,1
2017,Fresno,PHEV,Volvo,XC90,4
2017,Glenn,PHEV,Chevrolet,Volt,1
2017,Glenn,PHEV,Ford,C-MAX Energi,1
2017,Glenn,PHEV,Toyota,Prius PHEV,1
2017,Glenn,PHEV,Toyota,Prius Prime,1
2017,Humboldt,BEV,Chevrolet,Bolt EV,16
2017,Humboldt,BEV,Chevrolet,Spark EV,2
2017,Humboldt,BEV,Ford,Focus,1
2017,Humboldt,BEV,Honda,Clarity BEV,1
2017,Humboldt,BEV,Nissan,Leaf,8
2017,Humboldt,BEV,Tesla,Model S,9
2017,Humboldt,BEV,Tesla,Model X,1
2017,Humboldt,PHEV,BMW,i3 REx,5
2017,Humboldt,PHEV,BMW,X5,1
2017,Humboldt,PHEV,Chevrolet,Volt,33
2017,Humboldt,PHEV,Chrysler,Pacifica Hybrid,4
2017,Humboldt,PHEV,Ford,C-MAX Energi,2
2017,Humboldt,PHEV,Ford,Fusion Energi,9
2017,Humboldt,PHEV,Honda,Accord PHEV,1
2017,Humboldt,PHEV,Kia,Optima PHEV,2
2017,Humboldt,PHEV,Toyota,Prius PHEV,6
2017,Humboldt,PHEV,Toyota,Prius Prime,24
2017,Imperial,BEV,Chevrolet,Bolt EV,2
2017,Imperial,BEV,FIAT,500e,2
2017,Imperial,BEV,Ford,Focus,2
2017,Imperial,BEV,Tesla,Model S,2
2017,Imperial,BEV,Tesla,Model X,1
2017,Imperial,BEV,Volkswagen,e-Golf,1
2017,Imperial,PHEV,Audi,A3 Sportback e-tron,1
2017,Imperial,PHEV,Cadillac,CT6 PHEV,1
2017,Imperial,PHEV,Chevrolet,Volt,6
2017,Imperial,PHEV,Ford,Fusion Energi,1
2017,Imperial,PHEV,Mercedes-Benz,C-Class,1
2017,Imperial,PHEV,Mercedes-Benz,S-Class,1
2017,Imperial,PHEV,Toyota,Prius Prime,9
2017,Imperial,PHEV,Volvo,XC90,1
2017,Inyo,BEV,Ford,Focus,1
2017,Inyo,BEV,Tesla,Model S,2
2017,Inyo,PHEV,BMW,3 Series,1
2017,Inyo,PHEV,Chevrolet,Volt,2
2017,Inyo,PHEV,Toyota,Prius Prime,3
2017,Kern,BEV,BMW,i3,4
2017,Kern,BEV,Chevrolet,Bolt EV,24
2017,Kern,BEV,Chevrolet,Spark EV,8
2017,Kern,BEV,FIAT,500e,69
2017,Kern,BEV,Ford,Focus,4
2017,Kern,BEV,Honda,Clarity BEV,2
2017,Kern,BEV,Hyundai,Ioniq BEV,4
2017,Kern,BEV,Kia,Soul EV,2
2017,Kern,BEV,Mercedes-Benz,B-Class,2
2017,Kern,BEV,Nissan,Leaf,32
2017,Kern,BEV,Tesla,Model S,23
2017,Kern,BEV,Tesla,Model X,21
2017,Kern,BEV,Volkswagen,e-Golf,4
2017,Kern,PHEV,Audi,A3 Sportback e-tron,3
2017,Kern,PHEV,BMW,3 Series,3
2017,Kern,PHEV,BMW,5 Series,9
2017,Kern,PHEV,BMW,7 Series,4
2017,Kern,PHEV,BMW,i3 REx,6
2017,Kern,PHEV,BMW,i8,3
2017,Kern,PHEV,BMW,X5,11
2017,Kern,PHEV,Chevrolet,Volt,30
2017,Kern,PHEV,Chrysler,Pacifica Hybrid,4
2017,Kern,PHEV,Ford,C-MAX Energi,18
2017,Kern,PHEV,Ford,Fusion Energi,23
2017,Kern,PHEV,Hyundai,Sonata PHEV,3
2017,Kern,PHEV,Kia,Optima PHEV,1
2017,Kern,PHEV,Mercedes-Benz,C-Class,3
2017,Kern,PHEV,Mercedes-Benz,GLE,1
2017,Kern,PHEV,Porsche,Cayenne,1
2017,Kern,PHEV,Toyota,Prius Prime,56
2017,Kern,PHEV,Volvo,XC90,1
2017,Kern,FCEV,Toyota,Mirai,1
2017,Kings,BEV,Chevrolet,Bolt EV,2
2017,Kings,BEV,FIAT,500e,22
2017,Kings,BEV,Ford,Focus,1
2017,Kings,BEV,Nissan,Leaf,7
2017,Kings,BEV,Tesla,Model S,1
2017,Kings,BEV,Tesla,Model X,1
2017,Kings,BEV,Volkswagen,e-Golf,5
2017,Kings,PHEV,Chrysler,Pacifica Hybrid,1
2017,Kings,PHEV,Ford,C-MAX Energi,1
2017,Kings,PHEV,Ford,Fusion Energi,2
2017,Kings,PHEV,Toyota,Prius PHEV,1
2017,Kings,PHEV,Toyota,Prius Prime,11
2017,Kings,FCEV,Toyota,Mirai,1
2017,Lake,BEV,Chevrolet,Bolt EV,4
2017,Lake,BEV,FIAT,500e,2
2017,Lake,BEV,Kia,Soul EV,2
2017,Lake,BEV,Nissan,Leaf,4
2017,Lake,BEV,Tesla,Model S,5
2017,Lake,BEV,Tesla,Model X,1
2017,Lake,PHEV,BMW,5 Series,1
2017,Lake,PHEV,Chevrolet,Volt,6
2017,Lake,PHEV,Chrysler,Pacifica Hybrid,1
2017,Lake,PHEV,Ford,C-MAX Energi,1
2017,Lake,PHEV,Ford,Fusion Energi,1
2017,Lake,PHEV,Hyundai,Sonata PHEV,1
2017,Lake,PHEV,Kia,Optima PHEV,3
2017,Lake,PHEV,Toyota,Prius PHEV,1
2017,Lake,PHEV,Toyota,Prius Prime,6
2017,Lassen,BEV,FIAT,500e,1
2017,Lassen,PHEV,Chevrolet,Volt,1
2017,Los Angeles,BEV,BMW,i3,743
2017,Los Angeles,BEV,Chevrolet,Bolt EV,2106
2017,Los Angeles,BEV,Chevrolet,Spark EV,146
2017,Los Angeles,BEV,FIAT,500e,1962
2017,Los Angeles,BEV,Ford,Focus,166
2017,Los Angeles,BEV,Honda,Clarity BEV,123
2017,Los Angeles,BEV,Honda,Fit EV,1
2017,Los Angeles,BEV,Hyundai,Ioniq BEV,124
2017,Los Angeles,BEV,Kia,Soul EV,320
2017,Los Angeles,BEV,Mercedes-Benz,B-Class,175
2017,Los Angeles,BEV,Nissan,Leaf,457
2017,Los Angeles,BEV,Smart,Fortwo BEV Drive,60
2017,Los Angeles,BEV,Tesla,Model 3,167
2017,Los Angeles,BEV,Tesla,Model S,2739
2017,Los Angeles,BEV,Tesla,Model X,1469
2017,Los Angeles,BEV,Toyota,RAV4 EV,1
2017,Los Angeles,BEV,Volkswagen,e-Golf,527
2017,Los Angeles,PHEV,Audi,A3 Sportback e-tron,861
2017,Los Angeles,PHEV,BMW,3 Series,645
2017,Los Angeles,PHEV,BMW,5 Series,420
2017,Los Angeles,PHEV,BMW,7 Series,48
2017,Los Angeles,PHEV,BMW,i3 REx,1587
2017,Los Angeles,PHEV,BMW,i8,118
2017,Los Angeles,PHEV,BMW,X5,452
2017,Los Angeles,PHEV,Cadillac,CT6 PHEV,35
