year,car_main,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
2016,2015 Tesla Model S,1,125000,2.41,0,3,9.07,45,0,1,19200.0
2017,2017 Toyota Prius Prime,1,175000,2.93,1,4,6.65,75,0,2,21900.0
2016,2014 Ford C-Max Energi,1,175000,2.34,1,4,10.74,45,1,2,9912.8
2015,2014 Tesla Model S,1,125000,2.62,1,3,3.27,75,0,2,6000.0
2017,2015 Toyota Prius Plug-in,1,225000,2.66,1,3,9.85,55,1,3,3840.0
2016,2015 BMW i3,1,75000,2.76,1,3,5.82,35,0,2,8400.0
2016,2016 Tesla Model S,1,175000,1.45,1,2,6.57,35,0,3,16320.0
2017,2014 Toyota Prius Plug-in,1,125000,2.76,1,4,13.06,75,1,4,15696.64865
2017,2016 Tesla Model X,1,325000,-0.15,1,4,1.68,45,0,4,12218.18182
2015,2014 Ford Fusion Energi,1,225000,2.2,1,2,75.12,55,0,2,13200.0
2017,2017 Chevrolet Bolt EV,1,175000,2.95,1,4,9.07,55,1,3,15820.0
2015,2013 Ford Fusion Energi,1,125000,1.9,1,4,24.55,80,0,1,6277.44
2016,2015 Tesla Model S,1,500000,2.67,1,3,26.56,65,0,5,7500.0
2017,2016 Ford C-Max Energi,1,125000,1.66,1,4,6.65,55,1,2,8727.272727
2016,2015 Nissan Leaf,1,75000,2.76,0,4,21.19,35,0,2,10153.84615
2015,2014 Honda Fit EV,1,325000,2.82,1,4,25.72,45,0,2,9815.428571
2015,2013 Tesla Model S,1,500000,2.76,1,4,20.87,45,1,2,9230.769231
2015,2013 Nissan Leaf,1,125000,0.0,1,2,8.02,45,0,2,7680.0
2016,2015 Ford Fusion Energi,1,175000,2.06,1,3,22.56,45,0,2,16000.0
2016,2015 Tesla Model S,1,125000,2.68,1,3,32.78,65,0,4,26409.17647
2016,2015 Nissan Leaf,1,75000,-1.8,0,3,7.74,55,0,2,6790.285714
2017,2017 Toyota Mirai,1,225000,2.89,1,4,5.35,55,0,4,6000.0
2017,2017 Chevrolet Bolt EV,1,325000,0.97,1,3,24.08,35,0,2,8000.0
2017,2017 Toyota Prius Prime,1,175000,0.16,1,3,5.11,55,0,3,18417.6
2017,2017 Toyota Prius Prime,1,125000,2.96,1,4,2.38,75,1,2,4041.6
2015,2014 Toyota Prius Plug-in,1,125000,2.77,1,2,2.26,45,0,2,7066.666667
2017,2017 BMW i3,1,175000,2.61,0,2,19.36,35,0,2,9200.0
2017,2014 Toyota Prius Plug-in,1,175000,2.76,1,4,4.48,45,0,2,19459.45946
2015,2013 Toyota Prius Plug-in,1,175000,2.69,1,4,16.6,55,1,3,13500.63158
2016,2015 BMW i3,1,225000,-1.34,1,3,10.27,25,0,2,4200.0
2017,2017 Chevrolet Bolt EV,1,50000,2.77,0,3,7.21,65,0,2,4080.0
2015,2013 Chevrolet Volt,1,125000,0.0,1,2,11.1,35,0,2,17280.0
2016,2015 Tesla Model S,1,325000,1.45,1,3,2.21,35,0,3,15066.66667
2017,2014 Toyota Prius Plug-in,1,500000,2.53,1,4,32.57,45,0,2,15629.26829
2015,2013 Toyota Prius Plug-in,1,75000,-1.56,1,3,76.9,35,1,2,46904.34783
2015,2014 BMW i3,1,225000,2.65,1,4,1.89,75,0,2,5066.666667
2015,2013 Chevrolet Volt,1,175000,0.0,1,4,35.34,75,0,3,18428.57143
2016,2015 Ford Fusion Energi,1,75000,2.13,1,3,0.69,55,1,2,9938.25
2015,2011 Nissan Leaf,1,175000,2.71,1,3,0.59,65,1,2,5872.340426
2016,2015 Ford Fusion Energi,1,125000,2.79,0,3,57.03,55,0,1,13908.0
2017,2017 Toyota Prius Prime,1,50000,-3.0,0,3,7.41,35,0,2,12300.0
2015,2013 Tesla Model S,1,500000,2.68,1,4,4.1,55,1,1,17754.0
2015,2013 Fiat 500e,1,175000,2.79,0,3,11.05,65,1,3,8571.428571
2015,2013 Fiat 500e,1,175000,2.72,1,3,4.69,55,1,1,10687.76471
2016,2015 Nissan Leaf,1,125000,2.67,1,4,9.48,55,1,2,5454.545455
2017,2016 Tesla Model S,1,225000,1.79,1,3,13.31,35,0,2,32000.0
2017,2016 Volkswagen e-Golf,1,175000,-2.49,0,4,4.3,25,0,2,6226.285714
2015,2014 Chevrolet Volt,1,225000,2.77,1,4,13.47,55,1,3,16253.14286
2015,2013 Nissan Leaf,1,425000,2.82,1,3,20.98,45,0,2,10588.23529
2016,2015 Ford C-Max Energi,1,175000,-1.53,1,4,39.16,45,1,2,21150.0
2017,2014 Toyota Prius Plug-in,1,125000,2.66,1,3,27.31,55,0,4,26489.14286
2017,2016 Nissan Leaf,1,175000,2.39,1,3,7.59,65,0,3,10285.0
2015,2014 Toyota RAV4 EV,1,75000,1.55,1,4,15.22,45,1,2,9969.230769
2016,2015 Tesla Model S,1,75000,2.77,1,2,54.07,55,0,5,33600.0
2016,2015 Nissan Leaf,1,275000,2.77,1,4,11.23,55,1,4,4900.0
2015,2014 Toyota Prius Plug-in,1,125000,2.11,0,4,11.43,45,1,3,13500.0
2016,2015 Tesla Model S,1,475000,0.78,1,3,19.19,55,1,4,13525.0
2017,2016 Chevrolet Volt,1,275000,2.93,1,4,11.77,45,1,2,9415.384615
2015,2013 Chevrolet Volt,1,175000,-1.4,1,2,28.49,55,0,5,4114.285714
2015,2013 Chevrolet Volt,1,375000,-2.86,1,4,44.5,65,0,4,348000.0
2015,2014 BMW i3,1,475000,2.7,1,3,25.24,45,1,3,13000.0
2016,2015 Tesla Model S,1,175000,-1.09,1,3,12.37,45,0,3,11137.09091
2017,2017 Chevrolet Bolt EV,1,225000,1.59,0,3,28.3,45,0,4,18555.0
2017,2016 Tesla Model X,1,175000,2.9,1,4,35.41,45,0,2,10666.66667
2017,2016 Chevrolet Volt,1,175000,2.28,1,4,13.48,45,1,3,16363.63636
2017,2017 Chevrolet Volt,1,125000,2.54,0,4,8.73,25,1,1,10000.0
2017,2016 Nissan Leaf,1,75000,2.56,1,3,2.02,75,1,1,6434.666667
2015,2014 Ford C-Max Energi,1,225000,1.43,1,2,16.82,55,0,2,14400.0
2017,2017 Chevrolet Volt,1,175000,-1.15,1,2,32.75,35,0,2,15824.0
2017,2017 Chevrolet Bolt EV,1,275000,2.84,1,4,46.38,65,0,2,644.4444444
2015,2014 Toyota Prius Plug-in,1,125000,1.25,1,2,10.2,35,0,2,28255.38462
2016,2015 Nissan Leaf,1,175000,2.78,1,3,16.06,35,1,2,3938.181818
2017,2017 Chevrolet Bolt EV,1,125000,2.77,1,3,3.64,80,0,1,9000.0
2016,2016 Volkswagen e-Golf,1,275000,2.79,1,4,14.6,35,0,2,8100.0
2016,2015 Nissan Leaf,1,225000,2.69,1,3,17.7,45,0,3,10285.71429
2015,2014 Toyota Prius Plug-in,1,125000,2.04,1,3,14.08,55,1,2,20000.0
2017,2017 Chevrolet Volt,1,325000,-0.82,0,3,33.43,25,0,1,10400.0
2017,2016 Nissan Leaf,1,75000,1.79,0,2,21.99,35,0,2,12000.0
2015,2014 Tesla Model S,1,175000,-1.45,1,4,28.0,75,0,3,15784.61538
2016,2015 Ford C-Max Energi,1,125000,1.4,1,4,21.01,55,0,3,8666.666667
2016,2017 Chevrolet Volt,1,125000,2.77,1,4,7.24,55,1,2,12857.14286
2015,2011 Nissan Leaf,1,125000,2.78,1,3,4.22,65,0,3,6397.021277
2016,2014 Ford C-Max Energi,1,125000,-3.0,1,4,7.05,35,0,3,7256.307692
2017,2017 Chevrolet Volt,1,375000,-1.99,1,3,13.22,45,0,3,11200.0
2017,2016 Tesla Model S,1,375000,2.76,0,1,91.86,45,0,3,225000.0
2017,2017 Chevrolet Volt,1,125000,2.59,0,3,2.68,35,0,1,7140.0
2017,2016 Volkswagen e-Golf,1,125000,2.09,0,4,5.27,25,0,2,5485.714286
2015,2013 Nissan Leaf,1,125000,2.66,1,4,3.27,45,1,2,8845.8
2015,2014 Fiat 500e,1,75000,2.75,0,3,22.32,35,1,2,6300.0
2015,2014 Tesla Model S,1,275000,2.06,1,3,75.53,35,0,2,19384.61538
2015,2012 Chevrolet Volt,1,75000,2.33,1,3,1.93,65,0,1,7125.0
2016,2016 Ford Fusion Energi,1,225000,2.77,0,3,8.51,35,0,2,13000.0
2016,2015 Nissan Leaf,1,225000,2.56,1,4,20.23,55,0,3,11634.78261
2016,2016 Chevrolet Volt,1,225000,1.9,1,3,21.15,45,0,2,13720.0
2015,2014 Chevrolet Volt,1,225000,2.79,1,4,23.86,65,0,3,13976.21053
2017,2017 Chevrolet Bolt EV,1,175000,2.79,1,4,1.74,45,0,2,7200.0
2015,2015 Nissan Leaf,1,275000,1.26,0,3,13.44,55,0,2,10580.57143
2015,2013 Chevrolet Volt,1,125000,-2.05,1,3,13.28,45,0,2,12272.34783
2016,2016 Tesla Model X,1,500000,2.2,1,3,3.14,35,0,2,12000.0
2016,2015 Nissan Leaf,1,75000,0.38,1,4,0.07,35,0,3,11400.0
2015,2011 Chevrolet Volt,1,225000,2.54,1,4,7.87,55,1,2,16451.2
2017,2016 Chevrolet Volt,1,175000,1.04,1,2,10.92,45,0,4,10894.90909
2017,2017 Chevrolet Bolt,1,125000,2.95,1,3,8.47,75,1,2,7600.0
2017,2016 Volkswagen e-Golf,1,225000,2.12,1,4,19.04,45,0,2,9428.571429
2017,2017 Toyota Prius Prime,1,175000,2.92,1,2,1.22,35,0,2,10000.0
2015,2014 Toyota RAV4 EV,1,175000,2.63,1,3,3.65,55,0,3,6500.0
2017,2017 Chevrolet Volt,1,75000,2.53,0,2,7.82,55,0,1,13315.38462
2016,2016 Tesla Model S,1,500000,2.55,1,4,9.73,55,1,2,10666.66667
2016,2015 Chevrolet Volt,1,75000,2.34,0,3,1.05,45,0,2,11142.85714
2016,2015 Tesla Model S,1,175000,-2.77,1,4,32.09,75,0,3,11723.33333
2016,2015 Tesla Model S,1,75000,2.53,1,2,4.2,65,1,4,18384.0
2016,2015 Tesla Model S,1,325000,0.0,1,2,43.88,55,0,4,11194.90909
2015,2011 Nissan Leaf,1,175000,2.17,1,3,2.9,45,1,2,4978.723404
2017,2014 Toyota Prius Plug-in,1,75000,2.3,1,4,29.29,75,0,2,12155.36842
2016,2016 Chevrolet Volt,1,225000,2.83,1,3,26.58,45,0,2,15600.0
2017,2017 Chevrolet Volt,1,175000,1.94,1,3,0.28,75,0,2,7071.428571
2015,2015 Nissan Leaf,1,175000,0.0,1,3,37.25,45,0,3,8000.0
2016,2016 Nissan Leaf,1,425000,2.75,1,4,2.17,75,1,3,4472.0
2015,2015 Nissan Leaf,1,475000,2.7,1,4,17.08,45,1,2,15000.0
2015,2014 Toyota Prius Plug-in,1,75000,1.33,1,3,42.64,55,1,4,20640.0
2017,2017 Chevrolet Volt,1,75000,2.71,0,4,4.98,35,1,2,10304.57143
2016,2016 Ford Fusion Energi,1,425000,1.62,0,4,16.61,55,0,3,10200.0
2015,2012 Chevrolet Volt,1,75000,2.77,1,3,9.39,55,0,2,17991.42857
2017,2017 Chevrolet Volt,1,75000,2.64,1,3,20.69,35,0,2,8276.571429
2015,2014 Toyota Prius Plug-in,1,175000,1.86,0,2,16.96,35,0,2,7000.0
2017,2016 Tesla Model X,1,375000,2.61,1,3,6.89,55,0,2,13252.0
2017,2017 Chevrolet Volt,1,125000,1.64,1,4,7.53,55,0,1,11719.5
2016,2015 Ford Fusion Energi,1,125000,2.65,1,3,12.24,45,0,2,15777.47368
2015,2012 Fiat 500E,1,275000,2.62,1,3,25.83,65,0,3,10010.57143
2017,2017 Chevrolet Bolt EV,1,125000,2.78,0,3,28.21,35,0,2,19200.0
2017,2012 Toyota Prius Plug-in,1,325000,-0.86,1,4,2.08,55,0,2,26129.03226
2015,2013 Nissan Leaf,1,125000,1.37,1,4,9.43,45,0,4,7846.153846
2016,2016 Tesla Model S,1,500000,2.57,1,3,7.49,75,0,2,12000.0
2015,2014 Nissan Leaf,1,50000,2.66,1,3,16.78,65,0,2,6466.666667
2016,2015 Nissan Leaf,1,75000,1.43,1,2,5.04,35,0,2,12923.07692
2016,2015 BMW i3,1,175000,-2.66,1,3,30.9,35,0,2,13200.0
2016,2016 FIAT 500e,1,75000,2.39,1,4,5.21,35,0,3,6514.285714
2016,2015 Tesla Model S,1,500000,1.2,1,4,26.19,35,0,2,34000.0
2015,2015 Nissan Leaf,1,75000,0.0,1,3,33.92,35,1,2,16533.33333
2016,2015 Tesla Model S,1,125000,2.7,0,3,6.58,65,1,1,10933.33333
2015,2013 Toyota Prius Plug-in,1,125000,2.3,1,4,4.51,65,0,2,6782.608696
2017,2012 Toyota Prius Plug-in,1,125000,0.51,1,3,4.88,65,0,2,15344.2623
2017,2017 Chevrolet Bolt EV,1,125000,1.85,1,3,18.31,55,0,2,14100.0
2016,2016 Chevrolet Volt,1,375000,-3.0,1,2,26.66,55,0,4,16000.0
2017,2017 Chevrolet Volt,1,125000,-0.49,1,3,15.59,35,0,2,11850.0
2015,2014 Toyota Prius Plug-in,1,275000,2.7,0,3,33.37,25,1,2,22666.66667
2017,2017 Chevrolet Bolt EV,1,125000,2.6,1,4,33.76,55,1,2,14400.0
2015,2014 Nissan Leaf,1,425000,2.32,1,4,11.91,35,1,3,6720.0
2016,2014 Ford C-Max Energi,1,125000,2.3,1,3,40.11,35,0,1,23000.0
2016,2016 Chevrolet Volt,1,125000,2.76,1,1,6.5,65,0,2,8556.0
2015,2013 Chevrolet Volt,1,225000,2.55,1,4,4.98,55,0,4,11118.72
2015,2014 Fiat 500e,1,125000,2.45,1,3,24.22,55,1,4,9000.0
2017,2016 Volkswagen e-Golf,1,125000,0.0,1,4,31.79,45,0,3,13000.0
2015,2013 Chevrolet Volt,1,175000,2.61,1,4,12.39,65,0,3,12934.58824
2015,2012 Toyota Prius Plug-in,1,125000,2.47,1,4,23.24,65,1,1,21711.87097
2017,2015 Toyota Prius Plug-in,1,325000,2.81,1,4,28.5,55,0,4,17368.42105
2015,2014 Ford Fusion Energi,1,125000,1.88,1,3,20.89,45,0,2,17618.66667
2015,2014 Toyota Prius Plug-in,1,225000,1.49,1,4,13.87,45,0,2,9974.571429
2016,2016 Ford Fusion Energi,1,225000,1.63,1,4,21.36,35,0,2,10400.0
2015,2014 Honda Fit EV,1,75000,0.32,1,4,36.07,18,1,4,11333.33333
2015,2013 Toyota Prius Plug-in,1,475000,2.74,1,3,46.54,75,0,2,10080.0
2016,2016 Volkswagen e-Golf,1,125000,-3.0,1,4,1.22,35,0,2,9066.666667
2017,2016 BMW i3,1,225000,2.89,1,3,11.06,45,1,2,7457.142857
2016,2016 Kia Soul EV,1,175000,2.3,1,4,13.85,45,0,2,9895.636364
2016,2015 Nissan Leaf,1,125000,2.51,1,3,7.08,65,0,5,4500.0
2016,2016 Chevrolet Volt,1,75000,2.67,1,2,10.27,35,0,2,10526.4
2015,2012 Chevrolet Volt,1,225000,1.72,1,4,8.1,55,0,3,11540.33333
2015,2014 Ford Focus Electric,1,125000,2.81,1,4,5.11,55,0,3,6600.0
2017,2014 Toyota Prius Plug-in,1,175000,1.7,1,4,27.9,45,1,2,15333.33333
2017,2017 BMW i3,1,425000,2.63,1,3,17.72,45,0,2,8662.666667
2015,2013 Nissan Leaf,1,125000,2.85,1,4,16.83,35,0,2,9276.923077
2016,2015 Tesla Model S,1,175000,2.73,1,3,23.81,65,0,3,18000.0
2015,2014 Tesla Model S,1,225000,2.82,1,4,17.52,45,1,5,81600.0
2017,2016 Ford C-Max Energi,1,275000,0.0,1,2,33.6,45,1,2,17142.85714
2016,2015 Nissan Leaf,1,175000,-3.0,1,4,22.2,45,1,2,12400.0
2015,2013 Honda Fit EV,1,325000,-2.37,1,4,24.45,55,0,3,16636.36364
2015,2012 Toyota Prius Plug-in,1,75000,2.63,1,4,1.81,80,0,2,5032.258065
2017,2016 Volkswagen e-Golf,1,175000,2.45,1,4,33.11,45,0,2,11250.0
2015,2014 Nissan Leaf,1,125000,2.14,1,2,9.58,45,0,3,5520.0
2015,2014 Ford C-Max Energi,1,275000,0.0,1,3,12.99,45,0,3,17142.85714
2016,2015 Ford C-Max Energi,1,275000,2.77,1,3,50.46,55,0,2,25054.28571
2015,2013 Nissan Leaf,1,275000,2.82,1,4,2.77,55,1,2,10578.0
2016,2016 Volkswagen e-Golf,1,175000,1.43,1,3,42.37,35,0,2,15000.0
2016,2016 Fiat 500e,1,125000,0.0,1,4,1.69,35,1,5,7000.0
2015,2013 Toyota Prius Plug-in,1,175000,-3.0,1,3,91.96,45,0,2,42683.33333
2015,2013 Nissan Leaf,1,175000,2.8,1,4,9.78,65,0,3,11000.0
2017,2017 Chevrolet Volt,1,75000,0.0,1,2,17.79,55,0,3,-40075.2
2016,2015 Nissan Leaf,1,125000,0.0,0,4,43.11,35,0,2,21000.0
2016,2015 Nissan Leaf,1,125000,0.0,1,4,48.12,45,0,2,20217.0
2017,2017 Chevrolet Bolt EV,1,75000,2.77,1,4,5.52,55,0,2,7000.0
2017,2017 Chevrolet Bolt EV,1,275000,2.73,0,3,38.55,55,0,3,26000.0
2015,2015 BMW i3,1,275000,2.46,1,3,9.02,45,1,2,5708.727273
2016,2015 BMW i3,1,225000,1.34,1,3,22.43,45,1,4,11640.0
2017,2017 Chevrolet Bolt EV,1,75000,2.62,1,4,26.08,75,1,1,4285.714286
2017,2017 Chevrolet Bolt EV,1,275000,-1.51,1,4,7.14,35,0,2,11760.0
2017,2017 Chevrolet Volt,1,125000,2.81,1,2,7.8,35,0,3,10957.71429
2015,2015 Tesla Model S,1,275000,2.71,1,3,24.59,55,1,2,25000.0
2015,2013 Tesla Model S,1,375000,2.51,1,3,11.28,65,0,2,12000.0
2015,2013 Nissan Leaf,1,325000,-0.76,1,3,6.92,35,0,3,4800.0
2017,2016 Volkswagen e-Golf,1,175000,2.92,1,4,7.71,55,1,2,4024.0
2017,2016 Volkswagen e-Golf,1,175000,1.05,1,3,10.5,45,0,3,7200.0
2015,2014 Chevrolet Volt,1,75000,-2.85,1,3,2.66,80,0,2,7517.0
2016,2015 Tesla Model S,1,125000,2.9,0,4,8.36,25,0,1,6428.571429
2015,2013 Toyota Prius Plug-in,1,75000,2.04,1,4,3.11,65,0,2,12705.88235
2017,2016 Tesla Model S,1,225000,1.67,1,4,15.91,65,1,2,13500.0
2016,2015 Tesla Model S,1,275000,-2.14,1,3,19.71,45,0,2,15360.0
2015,2013 Tesla Model S,1,175000,2.39,1,4,12.99,55,1,2,14667.5
2015,2013 Fiat 500e,1,75000,-0.43,1,3,11.53,35,0,2,11186.66667
2015,2015 Nissan Leaf,1,425000,2.62,1,4,17.22,35,0,2,12000.0
2017,2016 Nissan Leaf,1,125000,2.76,0,3,18.09,45,0,2,8571.428571
2015,2014 Tesla Model S,1,225000,2.36,1,4,12.82,75,0,2,11046.54545
2015,2015 Nissan Leaf,1,125000,0.95,0,4,14.03,35,0,2,7800.0
2015,2013 Fiat 500e,1,125000,1.27,0,4,11.53,35,0,2,5333.333333
2016,2016 Chevrolet Volt,1,500000,2.85,1,4,18.11,45,0,3,11014.8
2016,2015 BMW i3,1,325000,-3.0,1,3,23.25,45,0,3,9466.666667
2017,2017 Toyota Prius Prime,1,225000,2.8,1,4,28.72,55,1,2,13500.0
2015,2012 Toyota Prius Plug-in,1,175000,1.21,1,4,30.46,35,0,2,31517.625
2017,2017 Honda Clarity,1,275000,1.57,1,3,22.72,55,0,3,9820.8
2016,2015 Nissan Leaf,1,225000,2.99,1,4,4.99,55,0,2,5440.0
2017,2017 Audi A3 Sportback e-tron,1,225000,2.78,1,4,0.08,45,0,3,10600.0
2015,2014 Ford Fusion Energi,1,175000,0.0,1,3,2.83,45,0,1,10200.0
2016,2017 Chevrolet Volt,1,325000,2.59,1,4,18.05,55,0,3,-19500.0
2016,2015 Tesla Model S,1,125000,2.63,1,3,16.55,80,0,2,13726.28571
2017,2017 Toyota Mirai,1,500000,2.92,0,4,9.52,55,0,2,12000.0
2015,2014 Toyota Prius Plug-in,1,75000,2.2,1,3,16.19,55,1,1,11280.0
2017,2016 Volkswagen e-Golf,1,175000,2.71,0,4,12.68,35,0,2,6565.2
2017,2016 BMW i3,1,125000,2.7,1,4,20.11,45,0,2,11475.6
2016,2016 Chevrolet Volt,1,125000,-3.0,1,2,52.12,45,0,4,33576.0
2015,2013 Tesla Model S,1,500000,-2.96,1,4,39.92,55,0,3,20644.42105
2017,2016 Tesla Model S,1,225000,2.99,1,4,5.83,65,0,2,11232.0
2017,2016 Tesla Model S,1,125000,-2.91,0,4,7.56,25,0,1,19200.0
2016,2015 Tesla Model S,1,75000,2.66,1,2,7.41,75,1,1,6428.571429
2017,2017 Toyota Prius Prime,1,125000,-2.96,1,3,5.45,35,0,2,9085.714286
2016,2016 Volkswagen e-Golf,1,125000,0.0,0,4,9.57,35,0,3,7051.2
2016,2016 Ford C-Max Energi,1,275000,2.6,1,3,11.42,55,0,2,10000.0
2017,2016 Ford C-Max Energi,1,275000,2.9,1,4,6.42,65,1,4,6000.0
2015,2014 Chevrolet Spark EV,1,125000,2.88,1,4,6.52,45,0,2,7962.947368
2016,2015 Tesla Model S,1,325000,2.92,1,4,21.74,55,0,4,7971.428571
2015,2012 Toyota Prius Plug-in,1,175000,-1.66,1,4,35.19,45,1,2,22758.62069
2017,2016 Tesla Model S,1,125000,2.62,1,2,7.09,65,0,2,7513.0
2017,2017 BMW i3,1,225000,2.63,1,2,18.59,55,0,3,9160.0
2015,2014 Toyota RAV4 EV,1,275000,2.63,1,3,15.65,35,0,2,15000.0
2015,2014 Chevrolet Volt,1,275000,2.02,1,4,38.2,45,0,3,21000.0
2016,2015 Tesla Model S,1,75000,2.9,1,4,38.42,65,0,2,13003.2
2015,2013 Tesla Model S,1,500000,2.78,1,4,17.43,35,0,2,19666.66667
2016,2015 Tesla Model S,1,500000,2.76,1,4,19.23,55,0,2,10800.0
2017,2017 Tesla Model S,1,125000,1.03,1,4,1.67,65,0,2,7794.0
2015,2013 Toyota Prius Plug-in,1,75000,2.76,1,3,0.0,65,0,1,8815.384615
2017,2012 Toyota Prius Plug-in,1,225000,2.66,1,3,2.03,45,0,2,18947.36842
2015,2013 Chevrolet Volt,1,225000,-2.44,1,2,8.07,35,0,4,9206.181818
2015,2014 Ford C-Max Energi,1,225000,2.61,1,4,9.28,55,0,3,33882.35294
2016,2016 Ford Fusion Energi,1,125000,-3.0,1,2,21.92,75,0,2,11720.0
2017,2015 Toyota Prius Plug-in,1,475000,2.49,1,4,2.87,55,1,2,6620.689655
2016,2014 Ford C-Max Energi,1,225000,2.53,0,4,24.28,55,0,1,12000.0
2015,2013 Chevrolet Volt,1,275000,1.83,1,4,20.22,35,0,2,9290.322581
2015,2013 Tesla Model S,1,375000,1.53,1,4,5.63,35,0,2,8496.0
2017,2017 Chevrolet Bolt EV,1,175000,2.67,0,4,13.49,45,0,1,13584.0
2015,2013 Ford C-Max Energi,1,175000,2.71,1,4,16.71,55,0,3,10961.45455
2017,2017 Nissan Leaf,1,225000,2.67,1,2,38.32,45,0,3,25200.0
2017,2017 Tesla Model X,1,75000,-1.56,1,4,60.5,35,0,3,38445.0
2015,2014 Toyota Prius Plug-in,1,75000,1.68,1,3,42.27,55,0,2,32800.0
2017,2017 Chevrolet Bolt EV,1,275000,2.94,1,4,1.85,55,1,3,12600.0
2015,2014 Nissan Leaf,1,125000,2.28,1,4,27.23,45,0,3,13090.90909
2017,2017 Toyota Prius Prime,1,275000,2.55,1,4,5.37,65,0,2,10296.0
2015,2013 Toyota RAV4 EV,1,175000,-2.91,1,4,25.92,35,0,2,20571.42857
2015,2012 Toyota Prius Plug-in,1,275000,2.75,0,4,26.83,45,0,2,10195.78378
2015,2013 Honda Fit EV,1,225000,2.76,1,2,16.08,65,0,2,14794.28571
2015,2013 Toyota Prius Plug-in,1,225000,1.38,1,2,16.02,55,0,3,13333.33333
2015,2013 Nissan Leaf,1,75000,2.61,0,3,24.64,35,1,2,11142.85714
2017,2016 Tesla Model S,1,125000,2.52,1,4,75.11,65,1,2,7866.666667
2015,2013 Chevrolet Volt,1,125000,2.81,1,4,33.33,75,0,2,17589.14286
2016,2016 Volkswagen e-Golf,1,225000,2.72,1,3,18.33,45,0,3,13650.0
2015,2013 Nissan Leaf,1,75000,2.76,1,3,9.59,75,1,1,3885.714286
2016,2015 Tesla Model S,1,275000,2.78,1,4,7.05,65,0,3,25827.52941
2017,2017 Chevrolet Bolt EV,1,125000,2.8,1,3,36.14,55,0,4,18615.42857
2017,2016 Tesla Model X,1,325000,1.91,1,4,3.38,65,0,3,15272.72727
2015,2012 chevy volt,1,175000,2.72,1,3,8.95,65,0,2,11294.11765
2015,2014 Chevrolet Spark EV,1,225000,2.44,0,4,22.32,45,0,2,9756.705882
2017,2017 Chevrolet Bolt EV,1,125000,2.24,0,3,16.2,55,0,2,14806.28571
2017,2017 Chevrolet Bolt EV,1,125000,0.73,1,3,53.18,35,0,2,21104.0
2015,2013 Nissan Leaf,1,175000,1.23,1,3,20.67,75,0,3,9742.857143
2015,2014 Honda Accord Plug-in Hybrid,1,500000,2.76,1,4,5.69,45,0,2,2086.956522
2016,2016 Fiat 500e,1,175000,2.59,1,4,2.12,35,0,2,6000.0
2015,2012 Chevrolet Volt,1,425000,1.45,1,4,9.51,65,1,3,5978.926829
2016,2015 BMW i3,1,225000,2.75,1,4,15.19,35,0,2,11250.0
2016,2015 Tesla Model S,1,325000,0.0,1,3,18.35,55,0,2,16000.0
2016,2016 Volkswagen e-Golf,1,425000,1.27,1,3,1.06,35,0,3,6666.666667
2015,2014 Fiat 500e,1,75000,2.51,1,3,10.06,35,0,3,9216.0
2015,2014 Toyota Prius Plug-in,1,125000,-2.56,1,3,0.95,45,0,2,28000.0
2015,2011 Nissan Leaf,1,275000,2.76,1,4,25.79,45,0,3,10323.3913
2017,2012 Toyota Prius Plug-in,1,125000,2.61,1,4,19.68,55,1,2,116129.0323
2017,2017 Chevrolet Volt,1,275000,2.41,1,3,8.28,35,0,3,8400.0
2015,2014 Ford C-Max Energi,1,125000,2.61,1,2,5.65,65,0,3,2952.0
2016,2016 Nissan Leaf,1,175000,2.76,1,4,7.02,45,0,3,10050.0
2016,2015 Ford Fusion Energi,1,325000,2.75,1,4,6.64,55,1,2,18750.0
2015,2013 Tesla Model S,1,75000,2.89,1,4,9.25,65,1,2,3327.272727
2016,2016 BMW i3,1,75000,2.78,1,3,33.59,45,0,2,20355.0
2016,2016 Fiat 500e,1,125000,2.61,1,3,23.03,35,1,4,8640.0
2016,2015 BMW i3,1,125000,-2.03,1,4,24.35,45,0,2,15000.0
2016,2015 Nissan Leaf,1,225000,2.68,1,4,38.09,55,0,3,17250.0
2015,2014 Toyota Prius Plug-in,1,175000,-3.0,1,4,24.56,35,0,3,17333.33333
2016,2016 Audi A3 Sportback e-tron,1,500000,2.6,1,3,13.61,45,0,3,4810.0
2015,2012 Toyota RAV4 EV,1,75000,1.35,1,4,33.59,35,0,2,12000.0
2015,2014 Chevrolet Volt,1,125000,2.31,1,4,6.4,80,0,2,6960.0
2016,2015 BMW i3,1,75000,-1.19,0,3,42.03,25,1,2,8400.0
2015,2012 Tesla Model S,1,225000,0.7,1,3,3.75,45,0,2,10344.82759
2016,2016 Chevrolet Volt,1,175000,2.82,1,4,6.86,55,0,2,11392.0
2017,2017 Toyota Prius Prime,1,225000,2.69,1,3,12.15,65,0,3,24750.0
2016,2015 Nissan Leaf,1,175000,1.49,1,4,0.94,65,0,2,3482.571429
2015,2013 Chevrolet Volt,1,75000,2.44,1,4,7.45,65,0,2,5751.724138
2017,2016 Tesla Model X,1,275000,2.88,1,3,53.85,35,0,2,20307.69231
2017,2017 Chevrolet Volt,1,225000,0.0,1,2,32.29,55,0,2,22237.5
